Date reviewed,Name,Website,Summary / Intro link,Description,Type (best estimate),Blockchain- based?,Technology used (one level up),Notes
2015-12-21,Bitnation,bitnation.co,,"""Bitnation is a collaborative platform for do-it-yourself governance"" - ""Governance 2.0""",application,Y,Bitcoin,Launched humanitarian refugee programme - https://refugees.bitnation.co/ . http://cointelegraph.com/news/115299/bitnation-registers-first-refugees-on-the-blockchain
2015-12-17,bitproof.io,https://bitproof.io/,,SealX is contract notary service stored on blockchain and GeniusX is an IP certification system based on blockchain,application,Y,Blockchain,
2015-12-18,Bittorrent,http://www.bittorrent.com/,,Communications protocol for peer-to-peer file sharing - distributed data storage ,Technology/platform,N,Web,
2015-12-18,Bitwalking,http://www.bitwalking.com/,http://www.bbc.co.uk/news/technology-34872563,Currency/platform which rewards users for walking - currency can be exchanged for goods,application,?,Unclear,How do they fund the platform? Advertising? selling insights into peoples behaviour?
2015-12-21,Blockai,https://www.blockai.com/,,Digital asset distribution service,application,Y,Bitcoin,
2015-12-17,BlockApps Strato,http://www.blockapps.net/,,Develop private (and semi-private) blockchains to build industry-specific blockchain apps,Technology/platform,Y,Ethereum,
2015-12-16,Blockchain,https://blockchain.info/,,Core architecture of distributed trustless transactions,Technology/platform,N,Web,
2015-12-17,blockcypher,http://www.blockcypher.com/,,Platform infrastructure for building blockchain-based apps,Technology/platform,Y,Blockchain,
2015-12-17,Blocknet,http://blocknet.co/,,"""The Internet of Blockchains"" - decentralised application platform ",Technology/platform,Y,Blockchain,
2015-12-17,blocksign,https://blocksign.com/,,Document verification service,application,Y,Blockchain,
2015-12-17,Blockstack.io,https://blockstack.io/,,Blockchain-as-a-Service a hosted platform for financial institutions to develop applications on private blockchains,Technology/platform,Y,Blockchain,recently aquired by 'Digital Asset Holdings' (http://digitalasset.com/)
2015-12-18,blockstrap,http://blockstrap.com/,,html5 framework for blockchain applications - designed to work on any blockchain,Technology/platform,Y,Blockchain,
2015-12-17,BoardRoom,http://boardroom.to/,,A tool aimed at organising decision making processes - blockchain governance,application,Y,Ethereum,"Originally aimed at creating decentralised boardroom activities - pivoted to help organisations ""integrate into the blockchain"""
2015-12-21,Chain,https://chain.com/,,"Platform to ""enable institutions to design, deploy, and operate blockchain networks that can power any type of asset in any market.""",application,Y,Blockchain,
2015-12-21,Chainalysis,https://chainalysis.com/,,"""Building the compliance layer for the future of value exchange"" - Due diligence and risk analysis",Technology/platform,Y,Blockchain,
2015-12-21,ChromaWay,http://chromaway.com/,,"Platform (http://chromaway.com/platform/) for handling ""coloured coins"" i.e. tokens of value (Blockchain 2.0)",Technology/platform,Y,Unclear,
2015-12-21,coinprism,https://www.coinprism.com/,,Coloured coin wallet (i.e. tokens of value),Technology/platform,Y,Bitcoin,
2015-12-21,CoinSpark,http://coinspark.org/,,Service for adding messages to bitcoin transactions (and therefore trade assets (2.0)),Technology/platform,Y,Bitcoin,
2015-12-17,Colony,colony.io,,"Tool to help organise distributed, demfrocratic company-like entities/organisations ",application,Y,Ethereum,
2015-12-21,colu,https://www.colu.co/,,Platform with accessible front end for storing/logging/transfering digital assets using blockchain (primarily Bitcoin?),Technology/platform,Y,Blockchain,
2015-12-21,Counterparty,http://counterparty.io/,,"""a platform for free and open financial tools on the Bitcoin network""",Technology/platform,Y,Bitcoin,
2015-12-21,Credits,http://www.credits.vision/,,"""Interoperable blockchain platform""",application,Y,Blockchain,Working on Isle of Man register of digital currency companies (http://www.coindesk.com/isle-of-man-trials-first-government-run-blockchain-project/)
2015-12-21,D-CENT,dcentproject.eu,,"EU project - Decentralised Citizens ENgagement Technologies - aimed at citizen engagement and empowerment - developing ""blockchain toolkit"" through Freecoin.ch - a social digital currency",application,Y,Freecoin,Developing Freecoin
2015-12-21,DAOwars,https://github.com/consensys/dao-wars,,IN DEV: A game which involves programming AI to compete through smart ethereum contracts,application,Y,Ethereum,http://theory.academy/?game_addr=0x6e52ac8d53f2a47034634fd3292030d3beceae7f
